"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Morocco,7570,15248,-50.0,201.0,185,217,-15,5.0,37618981
Mozambique,372,520,-28.0,11.0,6,10,-40,0.2,32671766
Myanmar,9948,2877,246.0,181.0,1,0,100,0.0,55000582
Namibia,366,546,-33.0,140.0,15,13,15,6.0,2615386
Nepal,6114,13514,-55.0,204.0,73,84,-13,2.0,29985050
Netherlands,628823,600891,5.0,36567.0,66,59,12,4.0,17196288
New Caledonia,9758,8142,20.0,33655.0,0,1,-100,0.0,289943
New Zealand,3585,1572,128.0,717.0,0,0,0,0.0,5002100
Nicaragua,82,59,39.0,12.0,1,1,0,0.1,6752177
Niger,21,39,-46.0,0.8,0,5,-100,0.0,25623095
Nigeria,236,599,-61.0,1.0,2,3,-33,0.0,214405269
North Macedonia,8609,9971,-14.0,4133.0,169,190,-11,81.0,2083235
Norway,138599,130163,6.0,25246.0,4,46,-91,0.7,5489897
Oman,13082,15717,-17.0,2461.0,31,34,-9,6.0,5316728
Pakistan,23250,38072,-39.0,102.0,285,247,15,1.0,227834082
Palau,540,1083,-50.0,29615.0,4,0,400,219.0,18234
Palestine,23142,45305,-49.0,4372.0,115,77,49,22.0,5293290
Panama,13827,28753,-52.0,3125.0,90,128,-30,20.0,4424724
Papua New Guinea,883,721,22.0,96.0,13,0,1,1.0,9221329
Paraguay,16148,26545,-39.0,2220.0,311,332,-6,43.0,7274404
Peru,72785,133357,-45.0,2159.0,1267,1280,-1,38.0,33715493
Philippines,23883,55887,-57.0,213.0,556,535,4,5.0,111942571
Poland,227578,302028,-25.0,6024.0,1529,1413,8,40.0,37779461
Portugal,160733,293188,-45.0,15838.0,307,353,-13,30.0,10148544
Qatar,4856,7399,-34.0,1729.0,6,7,-14,2.0,2807805
Romania,155605,202254,-23.0,8177.0,910,673,35,48.0,19029787
Russia,1331942,1120946,19.0,9121.0,4908,4674,5,34.0,146035832
Rwanda,154,266,-42.0,11.0,5,7,-29,0.4,13471646
R̩union,30782,45474,-32.0,33988.0,34,31,10,38.0,905661
S. Korea,360283,199254,81.0,7017.0,216,131,65,4.0,51340661
Saint Kitts and Nevis,21,62,-66.0,390.0,2,5,-60,37.0,53808
Saint Lucia,586,593,-1.0,3168.0,6,13,-54,32.0,184986
Saint Martin,335,0,33500.0,8431.0,2,0,200,50.0,39733
Saint Pierre Miquelon,48,94,-49.0,8351.0,0,0,0,0.0,5748
Samoa,0,3,-100.0,0.0,0,0,0,0.0,200549
San Marino,417,687,-39.0,12248.0,1,0,100,29.0,34047
Sao Tome and Principe,8,22,-64.0,35.0,0,2,-100,0.0,225746
Saudi Arabia,17970,25380,-29.0,503.0,17,17,0,0.5,35691592
Senegal,203,238,-15.0,12.0,1,10,-90,0.1,17457684
Serbia,68258,101984,-33.0,7864.0,440,425,4,51.0,8680356
Seychelles,0,930,-100.0,0.0,0,3,-100,0.0,99333
Sierra Leone,24,5,380.0,3.0,0,0,0,0.0,8239507
Singapore,72948,52818,38.0,12312.0,32,19,68,5.0,5924861
Sint Maarten,89,99,-10.0,2038.0,2,3,-33,46.0,43664
Slovakia,122653,118879,3.0,22448.0,132,143,-8,24.0,5463926
Slovenia,51300,89240,-43.0,24671.0,108,125,-14,52.0,2079401
Solomon Islands,1508,1833,-18.0,2112.0,24,25,-4,34.0,714135
Somalia,0,815,-100.0,0.0,0,5,-100,0.0,16610406
South Africa,17715,19968,-11.0,293.0,1229,928,32,20.0,60519472
South Sudan,41,62,-34.0,4.0,0,0,0,0.0,11406233
Spain,277435,434218,-36.0,5930.0,2026,1345,51,43.0,46784115
Sri Lanka,8615,9547,-10.0,400.0,223,180,24,10.0,21558681
St. Barth,252,0,25200.0,25388.0,0,0,0,0.0,9926
St. Vincent Grenadines,19,23,-17.0,170.0,4,5,-20,36.0,111511
Sudan,709,1562,-55.0,16.0,127,262,-52,3.0,45505759
Suriname,1505,2180,-31.0,2529.0,16,22,-27,27.0,595144
Sweden,42809,170648,-75.0,4196.0,24,267,-91,2.0,10201263
Switzerland,147382,202363,-27.0,16830.0,69,108,-36,8.0,8757132
Syria,876,603,45.0,48.0,21,22,-5,1.0,18188464
Taiwan,430,401,7.0,18.0,0,0,0,0.0,23886605
Tajikistan,27,33,-18.0,3.0,0,0,0,0.0,9884274
Tanzania,206,0,20600.0,3.0,3,0,300,0.0,62486067
Thailand,100756,66929,51.0,1438.0,159,130,22,2.0,70083695
Timor-Leste,1247,555,125.0,918.0,2,0,200,1.0,1359088
Togo,55,114,-52.0,6.0,2,1,100,0.2,8592658
Tonga,132,8,1550.0,1226.0,0,0,0,0.0,107635
Trinidad and Tobago,5052,4294,18.0,3591.0,64,63,2,45.0,1406829
Tunisia,21599,35640,-39.0,1797.0,377,454,-17,31.0,12018884
Turkey,649938,715133,-9.0,7574.0,1838,1554,18,21.0,85808690
Turks and Caicos,39,62,-37.0,986.0,0,1,-100,0.0,39565
UAE,10067,14303,-30.0,998.0,22,22,0,2.0,10083898
UK,387290,553942,-30.0,5657.0,1242,1707,-27,18.0,68463627
USA,1076034,1763892,-39.0,3220.0,14359,16994,-16,43.0,334146517
Uganda,447,536,-17.0,9.0,13,33,-61,0.3,48076858
Ukraine,235256,242942,-3.0,5432.0,1558,1189,31,36.0,43308107
Uruguay,49546,64585,-23.0,14183.0,122,177,-31,35.0,3493231
Uzbekistan,4133,6620,-38.0,121.0,18,22,-18,0.5,34254516
Venezuela,7970,12003,-34.0,282.0,54,48,13,2.0,28305416
Vietnam,181487,83059,119.0,1838.0,613,647,-5,6.0,98756969
Yemen,125,227,-45.0,4.0,19,22,-14,0.6,30888909
Zambia,2262,2270,-0.4,118.0,5,16,-69,0.3,19216699
Zimbabwe,1000,937,7.0,66.0,8,28,-71,0.5,15213214
