country,exp0,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,imp0,imp1,imp2,imp3,imp4,imp5,imp6,imp7,imp8,imp9
Afghanistan, 83210.31, 963091.1599999997, 1009856.6980000001, 127771.553, 34452.812999999995, 3484.418000000001, 5836.590999999999, 6381.1900000000005, 4117.195000000001, 1414.815, 679887.5899999996, 2377587.3899999997, 60676.901000000005, 605179.9040000001, 276752.573, 784768.7519999997, 789422.8679999999, 630390.0250000001, 702927.7109999999, 12140.553000000002
Albania, 1296376.8530000001, 378648.35199999996, 20165.163999999993, 411385.46300000005, 307020.729, 53211.48000000005, 31138.809000000012, 63396.60999999997, 102440.05500000001, 5073.797, 853760.9280000001, 1262825.9080000005, 182989.7589999999, 565897.9010000001, 511888.84500000003, 749432.9980000003, 288878.335, 547334.4599999996, 393726.1330000002, 26913.486000000004
Algeria, 16366.755, 382014.35099999997, 37284.045999999995, 31167755.861999996, 143717.61, 1315202.5199999998, 7572.583999999998, 106998.19500000002, 34561.329, 771.352, 2623261.047, 8994347.441, 631229.872, 2676297.018999999, 4138713.317000002, 6348289.551999999, 3846675.536, 7359901.143, 2866021.184999999, 48210.53900000002
American Samoa, 552.477, 15747.653, 43.56199999999999, 84.70499999999998, 2226.1760000000004, 1233.0439999999999, 499.14300000000003, 2814.682, 377.78, 18.677, 4687.081, 63279.90400000001, 512.872, 87370.106, 2907.215999999999, 3797.6410000000005, 3856.0739999999996, 6458.419, 2698.615, 84.16500000000002
Andorra, 3705.3709999999974, 14035.774999999994, 1301.6490000000001, 650.326, 2452.566, 23492.374, 12605.371999999996, 16132.407999999998, 32505.816000000006, 3897.4449999999997, 177977.94999999998, 379801.121, 32403.683, 131576.076, 46698.19500000001, 226418.85799999986, 192443.62700000004, 158143.28800000006, 97436.58600000001, 27784.535
Angola, 1113.4980000000003, 115740.96399999999, 1782545.7719999999, 30620135.28000001, 60496.27500000001, 4920.55, 133472.72900000002, 126623.40199999999, 12330.525000000005, 227.16299999999993, 857386.1599999999, 2299396.1129999985, 222570.996, 625751.375, 748850.8819999999, 1269124.1219999995, 1182268.274, 1653066.1240000008, 629848.8550000001, 35925.492999999995
Antigua and Barbuda, 5429.273, 16455.641, 22726.986000000004, 99631.32100000001, 4657.851000000001, 2511.936, 118618.55799999999, 4980.335, 2960.581, 196.025, 47706.508, 163517.29600000003, 40492.329, 251381.54000000004, 52316.973000000005, 60613.16500000001, 247020.54600000006, 74264.76100000003, 51111.32999999999, 3475.33
Azerbaijan, 200685.56800000003, 796183.5579999998, 185583.34600000005, 17877453.088, 258611.4609999999, 298251.894, 22385.818999999996, 81440.82200000001, 36317.456, 6557.439999999999, 658197.2920000001, 2352758.6480000005, 3172700.873, 780333.8700000002, 1146508.4200000002, 1620856.4900000002, 1242455.4030000002, 2068300.5910000007, 1159977.9259999995, 25820.02899999999
Argentina, 522161.9789999998, 41679668.827, 2767403.178, 3488586.5069999993, 1961985.111, 5503699.908000001, 6417967.915, 1262977.0970000005, 176349.57100000003, 170319.33499999996, 2063461.196, 4282183.597000001, 585837.084, 4936309.708, 2632686.5180000006, 11480670.502, 6211136.074000001, 9494826.478000006, 5974185.972000003, 170577.90499999994
Australia, 4189993.58, 35899318.415000014, 27249606.11399999, 172202981.38900003, 14263005.281000003, 14764856.712000001, 3527291.088000001, 8282011.0540000005, 3165595.0150000006, 285820.5569999999, 16303523.473000005, 21211272.820999995, 8966184.284999998, 26815765.601999998, 10674016.948999995, 28143930.401000004, 31812307.05499999, 41542126.30699997, 22335775.036999993, 962828.7570000002
