Country,Country Code,Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,4,Asia - Southern,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
Albania,8,Europe - Southern,2948029,2928601,2914091,2903788,2896307,2890524,2886427,2884169,2882735,2880913,2877800
Algeria,12,Africa - Northern,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043
American Samoa,16,Oceania - Polynesia,56084,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197
Andorra,20,Europe - Southern,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265
Angola,24,Africa - Middle,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268
Anguilla,660,America - Caribbean,13436,13612,13794,13952,14114,14279,14435,14588,14738,14872,15002
Antigua and Barbuda,28,America - Caribbean,88030,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928
Argentina,32,America - South,40895751,41320497,41755188,42196034,42637508,43075416,43508459,43937143,44361150,44780675,45195777
Armenia,51,Asia - Western,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234
Aruba,533,America - Caribbean,101665,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766
Australia,36,Oceania - AusNZ,22154687,22538002,22903951,23254912,23596426,23932499,24262710,24584619,24898153,25203200,25499881
Austria,40,Europe - Western,8409945,8453501,8502230,8556191,8615205,8678667,8747306,8819902,8891383,8955108,9006400
Azerbaijan,31,Asia - Western,9032465,9146277,9264684,9385467,9505616,9622741,9736041,9845316,9949537,10047719,10139175
Bahamas,44,America - Caribbean,354936,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248
Bahrain,48,Asia - Western,1240864,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583
Bangladesh,50,Asia - Southern,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383
Barbados,52,America - Caribbean,282131,282987,283698,284294,284825,285327,285798,286229,286640,287021,287371
Belarus,112,Europe - Eastern,9420576,9415316,9417045,9423502,9431742,9439424,9445638,9450233,9452615,9452409,9449321
Belgium,56,Europe - Western,10938735,11013860,11085355,11154008,11221225,11287931,11354407,11419752,11482180,11539326,11589616
Belize,84,America - Central,322465,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621
Benin,204,Africa - Western,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198
Bermuda,60,America - Northern,65388,65076,64737,64381,64038,63695,63360,63040,62763,62508,62273
Bhutan,64,Asia - Southern,685502,693297,701582,710235,719053,727885,736706,745563,754396,763094,771612
Bolivia (Plurinational State of),68,America - South,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029
"Bonaire, Sint Eustatius and Saba",535,America - Caribbean,20941,21998,22840,23512,24067,24571,25017,25399,25709,25983,26221
Bosnia and Herzegovina,70,Europe - Southern,3705478,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815
Botswana,72,Africa - Southern,1987106,2015406,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625
Brazil,76,America - South,195713637,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409
British Virgin Islands,92,America - Caribbean,27796,28326,28654,28850,28985,29148,29355,29567,29795,30033,30237
Brunei Darussalam,96,Asia - SouthEastern,388634,393687,398997,404414,409778,414914,419791,424481,428960,433296,437483
Bulgaria,100,Europe - Eastern,7425011,7378652,7334007,7290092,7245648,7199739,7151948,7102452,7051610,7000117,6948445
Burkina Faso,854,Africa - Western,15605211,16081915,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278
Burundi,108,Africa - Eastern,8675606,8958406,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781
Cabo Verde,132,Africa - Western,492644,498858,505241,511740,518276,524740,531140,537499,543764,549936,555988
Cambodia,116,Asia - SouthEastern,14312205,14541421,14780454,15026330,15274506,15521435,15766290,16009413,16249795,16486542,16718971
Cameroon,120,Africa - Middle,20341236,20906392,21485267,22077300,22681853,23298376,23926549,24566070,25216261,25876387,26545864
Canada,124,America - Northern,34147566,34539156,34922031,35296535,35664338,36026668,36382942,36732091,37074558,37411038,37742157
Cayman Islands,136,America - Caribbean,56672,57877,58963,59933,60848,61721,62564,63382,64172,64948,65720
Central African Republic,140,Africa - Middle,4386765,4418639,4436411,4447945,4464171,4493171,4537683,4596023,4666375,4745179,4829764
Chad,148,Africa - Middle,11952134,12360986,12784748,13220433,13663562,14110971,14561658,15016761,15477727,15946882,16425859
Channel Islands,830,Europe - Northern,159718,160990,162051,163039,164107,165387,166922,168666,170496,172264,173859
Chile,152,America - South,17062531,17233584,17400359,17571511,17758969,17969356,18209072,18470435,18729166,18952035,19116209
China,156,Asia - Eastern,1368810604,1376497633,1384206408,1391883335,1399453966,1406847868,1414049353,1421021794,1427647789,1433783692,1439323774
"China, Hong Kong SAR",344,Asia - Eastern,6966324,7006598,7046847,7088780,7134668,7185992,7243541,7306315,7371728,7436157,7496988
"China, Macao SAR",446,Asia - Eastern,538215,550833,564037,577368,590210,602093,612824,622578,631633,640446,649342
"China, Taiwan Province of China",158,Asia - Eastern,23187556,23268760,23346898,23421582,23491976,23557473,23618201,23674546,23726460,23773881,23816775
Colombia,170,America - South,45222699,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884
