Country,Country Code,Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Comoros,174,Africa - Eastern,689696,706578,723865,741511,759390,777435,795597,813890,832322,850891,869595
Congo,178,Africa - Middle,4273738,4394842,4510197,4622757,4736965,4856093,4980996,5110701,5244363,5380504,5518092
Cook Islands,184,Oceania - Polynesia,18392,18200,18009,17834,17685,17581,17521,17505,17519,17547,17564
Costa Rica,188,America - Central,4577371,4633086,4688003,4742111,4795390,4847805,4899336,4949955,4999443,5047561,5094114
C̫te d'Ivoire,384,Africa - Western,20532944,21028652,21547188,22087506,22647672,23226148,23822726,24437475,25069226,25716554,26378275
Croatia,191,Europe - Southern,4328163,4313098,4295869,4276593,4255518,4232874,4208611,4182847,4156407,4130299,4105268
Cuba,192,America - Caribbean,11225833,11236671,11257112,11282722,11306909,11324777,11335108,11339255,11338146,11333484,11326616
Cura̤ao,531,America - Caribbean,149188,152309,154812,156790,158432,159850,161055,161986,162753,163423,164100
Cyprus,196,Asia - Western,1112617,1124837,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361
Czechia,203,Europe - Eastern,10536514,10566512,10581302,10586529,10591104,10601390,10618868,10641032,10665679,10689213,10708982
Dem. People's Republic of Korea,408,Asia - Eastern,24548840,24673392,24800638,24929500,25057793,25183832,25307665,25429816,25549606,25666158,25778815
Democratic Republic of the Congo,180,Africa - Middle,64563853,66755151,69020749,71358804,73767445,76244532,78789130,81398765,84068092,86790568,89561404
Denmark,208,Europe - Northern,5554849,5582980,5610909,5638152,5664199,5688695,5711346,5732277,5752131,5771877,5792203
Djibouti,262,Africa - Eastern,840194,853671,868136,883296,898707,913998,929117,944100,958923,973557,988002
Dominica,212,America - Caribbean,70877,70912,70954,71019,71091,71175,71307,71460,71626,71808,71991
Dominican Republic,214,America - Caribbean,9695117,9813219,9930916,10048226,10165182,10281675,10397738,10513111,10627147,10738957,10847904
Ecuador,218,America - South,15011114,15243885,15474099,15707473,15951832,16212022,16491116,16785356,17084359,17373657,17643060
Egypt,818,Africa - Northern,82761244,84529251,86422240,88404652,90424668,92442549,94447071,96442590,98423602,100388076,102334403
El Salvador,222,America - Central,6183877,6210567,6237922,6266076,6295124,6325121,6356137,6388124,6420740,6453550,6486201
Equatorial Guinea,226,Africa - Middle,943640,986861,1031191,1076412,1122273,1168575,1215181,1262008,1308966,1355982,1402985
Eritrea,232,Africa - Eastern,3170437,3213969,3250104,3281453,3311444,3342818,3376558,3412894,3452797,3497117,3546427
Estonia,233,Europe - Northern,1332103,1327701,1323163,1319068,1316273,1315330,1316507,1319389,1322913,1325649,1326539
Eswatini,748,Africa - Southern,1064841,1072029,1079285,1086843,1095022,1104038,1113994,1124808,1136274,1148133,1160164
Ethiopia,231,Africa - Eastern,87639962,90139928,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583
Falkland Islands (Malvinas),238,America - South,2902,2863,2823,2793,2787,2836,2926,3074,3236,3372,3483
Faroe Islands,234,Europe - Northern,47803,47815,47843,47901,47965,48055,48173,48326,48497,48677,48865
Fiji,242,Oceania - Melanesia,859816,863451,865065,865602,866447,868632,872406,877460,883490,889955,896444
Finland,246,Europe - Northern,5365784,5390036,5414769,5438984,5461410,5481128,5497714,5511372,5522585,5532159,5540718
France,250,Europe - Western,62879535,63222229,63564224,63893521,64193550,64453194,64667590,64842513,64990512,65129731,65273512
French Guiana,254,America - South,232996,238383,243667,249049,254780,261008,267824,275189,282936,290823,298682
French Polynesia,258,Oceania - Polynesia,266449,267702,268995,270332,271713,273119,274576,276108,277673,279285,280904
Gabon,266,Africa - Middle,1624146,1684629,1749677,1817070,1883801,1947690,2007882,2064812,2119275,2172578,2225728
Gambia,270,Africa - Western,1793199,1848142,1905020,1963708,2024037,2085860,2149134,2213900,2280092,2347696,2416664
Georgia,268,Asia - Western,4099096,4081012,4064097,4048701,4035310,4024180,4015457,4008723,4002946,3996762,3989175
Germany,276,Europe - Western,80827001,80855629,80972629,81174373,81450370,81787411,82193770,82658409,83124413,83517046,83783945
Ghana,288,Africa - Western,24779614,25387713,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945
Gibraltar,292,Europe - Southern,33585,33608,33653,33694,33726,33742,33738,33723,33715,33706,33691
