Country,Country Code,Region,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,36,Oceania - AusNZ,8177348,8398224,8595064,8782177,8970121,9165700,9371781,9587459,9808595,10028799,10242070,10445836,10643420,10845179,11065419,11313186,11593402,11899644,12215704,12518931,12793030,13033130,13244163,13431790,13605574,13773290,13935722,14092545,14249403,14413002,14588400,14777241,14979203,15194644,15423156,15663672,15917580,16183159,16452258,16713989,16960600,17189235,17402179,17603211,17798526,17993083,18189274,18387205,18587027,18788187,18991434,19194676,19401366,19624163,19879654,20178543,20526300,20916339,21332293,21750852,22154687,22538002,22903951,23254912,23596426,23932499,24262710,24584619,24898153,25203200,25499881
Austria,40,Europe - Western,6936442,6931346,6931194,6935149,6942617,6953404,6967624,6985724,7008415,7036554,7070773,7111139,7156836,7205991,7256091,7305154,7352239,7397168,7439581,7479340,7516238,7550339,7581120,7607067,7626290,7637686,7640755,7636573,7627762,7617883,7609750,7604512,7602177,7603100,7607296,7614874,7625395,7639351,7658856,7686564,7723954,7772698,7830938,7892089,7947215,7990113,8017852,8032873,8041054,8051116,8069276,8097755,8134403,8175855,8216810,8253656,8285345,8313731,8341525,8372658,8409945,8453501,8502230,8556191,8615205,8678667,8747306,8819902,8891383,8955108,9006400
Azerbaijan,31,Asia - Western,2927926,2987264,3060014,3142813,3233167,3329373,3430666,3537022,3649189,3768336,3895398,4030325,4171428,4315127,4456691,4592601,4721528,4843872,4960237,5071930,5180032,5284518,5385266,5483088,5579071,5674129,5768730,5863138,5957927,6053635,6150735,6249312,6349555,6452067,6557581,6666447,6778631,6893486,7010027,7126877,7242758,7357945,7471924,7581754,7683704,7775418,7855558,7925668,7989903,8054126,8122743,8197295,8277065,8361433,8448938,8538610,8630153,8724237,8821869,8924383,9032465,9146277,9264684,9385467,9505616,9622741,9736041,9845316,9949537,10047719,10139175
Bahamas,44,America - Caribbean,79090,79989,81434,83373,85783,88628,91897,95617,99776,104415,109532,115119,121092,127340,133705,140060,146381,152621,158648,164265,169376,173894,177863,181519,185105,188895,192903,197100,201482,205991,210589,215321,220182,225095,229913,234579,239020,243265,247451,251738,256227,261007,266028,271065,275849,280179,283980,287363,290600,294063,298045,302618,307657,313123,318893,324848,331032,337387,343680,349600,354936,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248
Bahrain,48,Asia - Western,115612,116828,119590,123496,128250,133580,139261,145107,150981,156780,162429,167899,173140,178142,182888,187432,191785,196060,200652,206037,212607,220311,229151,239527,251908,266540,283746,303169,323468,342804,359897,374120,385953,396451,407233,419428,433478,448981,465198,481081,495927,509762,523082,536212,549590,563698,578661,594927,613697,636540,664610,697550,735140,778708,829846,889157,958423,1035924,1114645,1185075,1240864,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583
Bangladesh,50,Asia - Southern,37894671,38706399,39489861,40292411,41149830,42086305,43113922,44233217,45434542,46700569,48013505,49362834,50752150,52202008,53741721,55385114,57157651,59034250,60918452,62679765,64232486,65531635,66625706,67637541,68742222,70066310,71652386,73463593,75450033,77529040,79639498,81767516,83932132,86142490,88416529,90764180,93187593,95671159,98186350,100695496,103171957,105599125,107983708,110350641,112737684,115169933,117649927,120160571,122682818,125189655,127657862,130088709,132478077,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383
Barbados,52,America - Caribbean,210990,215724,219669,222854,225324,227132,228406,229270,229883,230402,230985,231718,232623,233632,234588,235415,236084,236661,237241,237963,238895,240093,241523,243076,244643,246158,247584,248931,250200,251347,252388,253296,254078,254791,255493,256260,257117,258012,258970,259961,260933,261912,262890,263869,264893,265955,267047,268183,269334,270455,271511,272494,273423,274331,275283,276320,277475,278701,279946,281107,282131,282987,283698,284294,284825,285327,285798,286229,286640,287021,287371
Belarus,112,Europe - Eastern,7745004,7698813,7677429,7679688,7703776,7747215,7806815,7878768,7958727,8042109,8124881,8204344,8279893,8353294,8427839,8505724,8587174,8670567,8754200,8835743,8913549,8987034,9056732,9123451,9188463,9252780,9316324,9378923,9441415,9504864,9569847,9636152,9703088,9770125,9836582,9901493,9965178,10026470,10081209,10124000,10151135,10160785,10154338,10135133,10108280,10077606,10044854,10009393,9969986,9924440,9871635,9811399,9745932,9679235,9616628,9562083,9516884,9480514,9452855,9433159,9420576,9415316,9417045,9423502,9431742,9439424,9445638,9450233,9452615,9452409,9449321
Belgium,56,Europe - Western,8637521,8680176,8727988,8779267,8832697,8887275,8942408,8997845,9053640,9110067,9167361,9225414,9283545,9340419,9394300,9443948,9488759,9529046,9565591,9599651,9632179,9663323,9692845,9720750,9747023,9771582,9794771,9816693,9836812,9854372,9868999,9880594,9889819,9897877,9906370,9916577,9928539,9942281,9959011,9980175,10006545,10039450,10078098,10118684,10155909,10186304,10208265,10223785,10237298,10255161,10282046,10319026,10364879,10419029,10480118,10546885,10619484,10697576,10778764,10859934,10938735,11013860,11085355,11154008,11221225,11287931,11354407,11419752,11482180,11539326,11589616
Belize,84,America - Central,68915,71239,73430,75551,77688,79867,82134,84508,86952,89486,92068,94700,97392,100165,103069,106120,109348,112707,116065,119269,122184,124795,127152,129294,131305,133264,135143,136990,138975,141302,144142,147572,151486,155820,160341,164918,169569,174333,179023,183471,187554,191136,194324,197625,201679,206962,213660,221575,230248,238979,247310,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621
Benin,204,Africa - Western,2255222,2258475,2264862,2274484,2287376,2303592,2323052,2345712,2371455,2400129,2431617,2465865,2502897,2542864,2585961,2632361,2682159,2735308,2791588,2850657,2912338,2976575,3043563,3113681,3187413,3265167,3347169,3433445,3523933,3618519,3717161,3820126,3927717,4039940,4156819,4278502,4404504,4535262,4672844,4820020,4978489,5149496,5331805,5521761,5714215,5905552,6094272,6281644,6470275,6664102,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198
Bermuda,60,America - Northern,37256,37800,38437,39142,39914,40709,41535,42370,43227,44091,44986,45899,46815,47723,48592,49382,50118,50785,51387,51979,52565,53154,53750,54327,54882,55399,55877,56318,56751,57170,57580,57987,58390,58785,59181,59594,60011,60422,60839,61243,61630,62012,62391,62750,63101,63439,63770,64092,64390,64704,65017,65330,65652,65936,66156,66260,66240,66126,65940,65675,65388,65076,64737,64381,64038,63695,63360,63040,62763,62508,62273
Bhutan,64,Asia - Southern,176796,180813,184759,188783,193006,197458,202194,207197,212424,217808,223284,228849,234552,240529,246961,253993,261664,269944,278731,287886,297307,306957,316822,326986,337491,348395,359721,371424,383324,395192,406883,418107,428938,439823,451471,464264,478683,494313,509532,522173,530801,534637,534525,532590,531905,534629,541471,551713,564378,577886,591014,603643,616025,627840,638809,648744,657404,664873,671611,678329,685502,693297,701582,710235,719053,727885,736706,745563,754396,763094,771612
Bolivia (Plurinational State of),68,America - South,3081836,3124343,3170680,3220683,3274205,3331036,3390970,3453779,3519193,3586996,3656961,3728954,3802996,3879191,3957759,4038865,4122517,4208683,4297522,4389248,4484004,4581752,4682392,4785916,4892294,5001413,5113458,5228253,5344946,5462413,5579932,5697098,5814344,5932812,6054126,6179460,6309129,6442824,6580318,6721117,6864839,7011456,7160917,7312857,7466792,7622334,7779268,7937453,8096761,8257066,8418270,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029
"Bonaire, Sint Eustatius and Saba",535,America - Caribbean,7129,7290,7425,7524,7610,7668,7722,7782,7855,7949,8078,8231,8429,8647,8888,9126,9389,9638,9910,10148,10359,10542,10716,10841,10956,11026,11076,11094,11105,11135,11209,11318,11473,11646,11843,12024,12185,12332,12485,12709,13010,13430,13936,14451,14858,15101,15163,15082,14889,14632,14387,14131,13882,13755,13886,14399,15338,16645,18163,19648,20941,21998,22840,23512,24067,24571,25017,25399,25709,25983,26221
Bosnia and Herzegovina,70,Europe - Southern,2661296,2710653,2764711,2821306,2878842,2936300,2993279,3049928,3106896,3165192,3225664,3288604,3353228,3417573,3478999,3535632,3586630,3632678,3675448,3717476,3760536,3805286,3851153,3897259,3942221,3985107,4025271,4063188,4100355,4138816,4179850,4222479,4265183,4307907,4350566,4392135,4435925,4479516,4509462,4507819,4463422,4369320,4233673,4078940,3936527,3829049,3764419,3736070,3734338,3743353,3751176,3755514,3759389,3762179,3764194,3765332,3765422,3762791,3754261,3735945,3705478,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815
Botswana,72,Africa - Southern,412541,424002,435031,445334,454780,463353,471234,478664,486080,493960,502733,512688,523777,535692,547870,559996,571957,584098,596946,611297,627714,646350,667096,689906,714701,741346,769982,800532,832467,865073,897860,930412,962859,996124,1031439,1069585,1110948,1154904,1200073,1244484,1286756,1326321,1363541,1399110,1434061,1469173,1504724,1540424,1575827,1610260,1643333,1674674,1704637,1734387,1765533,1799077,1835911,1875458,1915636,1953495,1987106,2015406,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625
Brazil,76,America - South,53974728,55606413,57283658,58999276,60749490,62533920,64355709,66221469,68140426,70123372,72179235,74311338,76514329,78772647,81064572,83373533,85696502,88035815,90387079,92746607,95113265,97482928,99859388,102259497,104706193,107216209,109790943,112425392,115121158,117878412,120694012,123570327,126498322,129448815,132383569,135274083,138108915,140891606,143627505,146328305,149003225,151648007,154259382,156849086,159432717,162019889,164614682,167209046,169785253,172318674,174790339,177196051,179537523,181809244,184006479,186127108,188167353,190130445,192030362,193886505,195713637,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409
British Virgin Islands,92,America - Caribbean,7437,7500,7547,7597,7628,7680,7725,7780,7855,7944,8053,8164,8319,8469,8644,8836,9022,9213,9427,9621,9830,10012,10210,10391,10551,10697,10821,10923,11041,11226,11471,11821,12250,12755,13317,13951,14646,15390,16155,16867,17489,18007,18443,18783,19068,19307,19508,19660,19820,20026,20313,20675,21128,21674,22329,23106,24022,25050,26096,27035,27796,28326,28654,28850,28985,29148,29355,29567,29795,30033,30237
Brunei Darussalam,96,Asia - SouthEastern,48009,50933,53885,56918,60058,63367,66807,70394,74095,77880,81707,85560,89484,93540,97819,102390,107274,112446,117897,123596,129530,135672,142015,148516,155069,161635,168173,174717,181201,187596,193880,200027,206064,212073,218176,224440,230917,237565,244405,251456,258714,266208,273888,281684,289452,297112,304620,311962,319135,326214,333166,340037,346777,353295,359434,365112,370262,374967,379418,383902,388634,393687,398997,404414,409778,414914,419791,424481,428960,433296,437483
