Country,Country Code,Region,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Channel Islands,830,Europe - Northern,102235,102969,103664,104320,104956,105608,106267,106966,107711,108526,109419,110398,111464,112591,113777,114989,116229,117469,118725,119975,121200,122405,123611,124722,125680,126420,126908,127186,127395,127691,128204,128986,129976,131153,132445,133800,135242,136762,138250,139580,140677,141469,142006,142407,142867,143480,144348,145387,146500,147553,148439,149097,149591,150070,150722,151674,152999,154644,156441,158187,159718,160990,162051,163039,164107,165387,166922,168666,170496,172264,173859
Chile,152,America - South,6598518,6729580,6869714,7016465,7167909,7322655,7479848,7639207,7800869,7965324,8132988,8303804,8476895,8650390,8821855,8989607,9152848,9312091,9468851,9625304,9783134,9942716,10103675,10265827,10428803,10592310,10756876,10922777,11089165,11254877,11419350,11582020,11743909,11907955,12078137,12257238,12445833,12642917,12847712,13058758,13274617,13495255,13719818,13944934,14166346,14380864,14587367,14786227,14977736,15162801,15342350,15516112,15684413,15849649,16014972,16182713,16354507,16530201,16708255,16886184,17062531,17233584,17400359,17571511,17758969,17969356,18209072,18470435,18729166,18952035,19116209
China,156,Asia - Eastern,554419269,569909108,582576497,593365882,603052316,612241552,621363233,630677648,640295777,650212731,660408054,670952701,682102654,694339084,708254602,724218970,742414887,762581176,784074715,805985941,827601385,848759709,869485962,889485368,908464206,926240889,942685412,957891271,972205441,986132214,1000089228,1014022211,1027948989,1042431401,1058171973,1075589363,1095014106,1116095475,1137724234,1158357393,1176883681,1192897277,1206711243,1218817059,1230020026,1240920539,1251636178,1261996017,1271982349,1281514833,1290550767,1299129747,1307352256,1315303522,1323084639,1330776380,1338408644,1345993891,1353569480,1361169410,1368810604,1376497633,1384206408,1391883335,1399453966,1406847868,1414049353,1421021794,1427647789,1433783692,1439323774
"China, Hong Kong SAR",344,Asia - Eastern,1974002,2057742,2150095,2250713,2358710,2472665,2590557,2709845,2827560,2940529,3046048,3142572,3230300,3311460,3389562,3467220,3545854,3624973,3703179,3778181,3848922,3913597,3974193,4037791,4113988,4208963,4326333,4462399,4607029,4745877,4868744,4971693,5058049,5133705,5207835,5287023,5373445,5464705,5557380,5646276,5727942,5800040,5864745,5928336,5999619,6084234,6185584,6299912,6416996,6522461,6606328,6664775,6701771,6724687,6744563,6769579,6802083,6840017,6881861,6924642,6966324,7006598,7046847,7088780,7134668,7185992,7243541,7306315,7371728,7436157,7496988
"China, Macao SAR",446,Asia - Eastern,196473,200490,201268,199292,195133,189458,183034,176752,171525,168283,167795,170466,176188,184245,193556,203224,213189,223416,233002,240837,246193,248745,248770,246945,244289,241631,239074,236669,235175,235440,238085,243373,251154,260921,271914,283490,295597,308181,320774,332783,343816,353623,362308,370195,377805,385517,393376,401353,409620,418388,427772,437928,448813,460157,471600,482863,493804,504504,515232,526401,538215,550833,564037,577368,590210,602093,612824,622578,631633,640446,649342
"China, Taiwan Province of China",158,Asia - Eastern,7602355,7930652,8250801,8565438,8877424,9189972,9506264,9829714,10163801,10511794,10876147,11257766,11655382,12065306,12482182,12901154,13322036,13743215,14156751,14552756,14924462,15268159,15586149,15885232,16175596,16464929,16754741,17043397,17331481,17618937,17905459,18191727,18477501,18760237,19036463,19303402,19560164,19806742,20042355,20266424,20478516,20679072,20868148,21044700,21207424,21356025,21488994,21608309,21721513,21838635,21966528,22108715,22262297,22419785,22570229,22705719,22823846,22927222,23019042,23104542,23187556,23268760,23346898,23421582,23491976,23557473,23618201,23674546,23726460,23773881,23816775
Colombia,170,America - South,11981576,12295965,12633899,12993849,13374543,13774999,14194561,14632794,15089522,15564624,16057714,16567817,17092919,17629978,18175187,18725242,19279734,19837508,20393704,20942453,21480064,22003983,22516429,23024512,23538390,24065502,24608102,25164544,25733669,26312996,26900508,27496608,28101824,28714183,29331230,29951194,30572479,31195417,31822527,32457497,33102569,33758328,34422568,35091272,35758978,36421438,37076387,37723803,38364307,38999468,39629965,40255956,40875363,41483872,42075953,42647731,43200901,43737512,44254972,44750054,45222699,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884
Comoros,174,Africa - Eastern,159459,163146,166538,169748,172853,175906,178946,181990,185046,188088,191122,194149,197202,200371,203762,207429,211477,215900,220574,225324,230055,234645,239229,244207,250107,257285,265958,275903,286628,297451,307831,317617,326944,336088,345455,355337,365765,376647,387964,399638,411598,423873,436454,449270,462280,475394,488625,501955,515382,528853,542358,555895,569480,583213,597230,611625,626427,641624,657227,673251,689696,706578,723865,741511,759390,777435,795597,813890,832322,850891,869595
Congo,178,Africa - Middle,827246,842483,858407,875106,892633,911033,930381,950719,972100,994599,1018254,1043119,1069236,1096638,1125354,1155389,1186782,1219547,1253761,1289519,1326894,1365891,1406510,1448632,1492055,1536658,1582361,1629218,1677326,1726865,1777932,1830629,1884873,1940454,1996994,2054308,2112359,2171319,2231462,2293161,2356740,2422312,2489945,2559880,2632345,2707532,2785815,2867283,2951651,3038432,3127420,3217930,3310376,3406915,3510468,3622775,3745143,3876123,4011487,4145400,4273738,4394842,4510197,4622757,4736965,4856093,4980996,5110701,5244363,5380504,5518092
Cook Islands,184,Oceania - Polynesia,15071,15411,15634,15830,16056,16350,16712,17120,17539,17920,18213,18380,18452,18507,18628,18894,19329,19890,20496,20985,21301,21399,21309,21056,20691,20225,19689,19068,18440,17902,17519,17306,17271,17343,17473,17592,17702,17794,17898,18026,18195,18419,18678,18934,19081,19105,18948,18653,18313,18042,17935,18017,18274,18609,18892,19070,19094,18994,18808,18602,18392,18200,18009,17834,17685,17581,17521,17505,17519,17547,17564
Costa Rica,188,America - Central,945683,972151,1002444,1035862,1071875,1110088,1150271,1192362,1236387,1282503,1330787,1381187,1433346,1486555,1539942,1592834,1645076,1696742,1747690,1797891,1847394,1896074,1944170,1992522,2042242,2094186,2148681,2205618,2264942,2326460,2389973,2455593,2523358,2593015,2664220,2736719,2810245,2884856,2960932,3039015,3119436,3202083,3286525,3372298,3458829,3545524,3632361,3718952,3803893,3885428,3962369,4034074,4100922,4164053,4225156,4285504,4345421,4404626,4463123,4520739,4577371,4633086,4688003,4742111,4795390,4847805,4899336,4949955,4999443,5047561,5094114
Côte d'Ivoire,384,Africa - Western,2630131,2690625,2761084,2838189,2919713,3004421,3092200,3183962,3281513,3387290,3503559,3631547,3770756,3918630,4071411,4226843,4383723,4544168,4713134,4897470,5102070,5328735,5576026,5841513,6121295,6412409,6713949,7026497,7350269,7685927,8033652,8393689,8764991,9144940,9530103,9918204,10307268,10698188,11094740,11502453,11924873,12362404,12812428,13271638,13735438,14199759,14665125,15130674,15589407,16032573,16454660,16853027,17231539,17599613,17970493,18354513,18754914,19171250,19605568,20059147,20532944,21028652,21547188,22087506,22647672,23226148,23822726,24437475,25069226,25716554,26378275
Croatia,191,Europe - Southern,3850294,3886220,3922668,3959122,3995137,4030420,4064773,4098126,4130493,4161964,4192641,4222503,4251422,4279061,4304991,4328928,4350817,4370858,4389320,4406606,4423069,4438821,4453985,4469034,4484523,4500871,4518101,4536195,4555413,4576029,4598125,4621420,4645404,4669621,4693424,4716123,4737954,4758154,4773684,4780629,4776370,4760003,4732866,4697537,4657800,4616763,4574888,4532405,4491906,4456446,4428075,4408073,4395802,4388909,4383877,4378066,4370782,4362427,4352639,4341261,4328163,4313098,4295869,4276593,4255518,4232874,4208611,4182847,4156407,4130299,4105268
Cuba,192,America - Caribbean,5919989,6050140,6178812,6303731,6423869,6539463,6652074,6764547,6880729,7005029,7141241,7291201,7453535,7623300,7793258,7958171,8115487,8266373,8413549,8561391,8712535,8868087,9025347,9178809,9320943,9446441,9554186,9646142,9724044,9790850,9849457,9898891,9940314,9981303,10031651,10097910,10183894,10286645,10397519,10503967,10596986,10673534,10736386,10789312,10838461,10888246,10939285,10989730,11038706,11084673,11126423,11164676,11199664,11229185,11250369,11261586,11261241,11251117,11236975,11226711,11225833,11236671,11257112,11282722,11306909,11324777,11335108,11339255,11338146,11333484,11326616
Curaçao,531,America - Caribbean,100181,104566,108286,111508,114349,116922,119282,121464,123481,125307,126941,128384,129685,130955,132316,133879,135650,137619,139677,141719,143639,145451,147148,148615,149686,150261,150240,149711,148942,148275,147997,148205,148808,149587,150185,150375,150065,149328,148353,147415,146679,146243,146018,145766,145132,143880,141970,139534,136868,134302,132147,130405,129082,128422,128713,130136,132812,136579,141004,145364,149188,152309,154812,156790,158432,159850,161055,161986,162753,163423,164100
Cyprus,196,Asia - Western,494018,500384,506630,513429,521186,529970,539568,549465,558897,566969,572933,576402,577696,577918,578628,580972,585313,591301,598495,606121,613618,620860,628002,635105,642322,649753,657524,665521,673253,680010,685408,689170,691716,694076,697715,703694,712335,723384,736476,751043,766616,783121,800610,818750,837104,855391,873426,891190,908710,926049,943288,960274,976968,993562,1010410,1027657,1045508,1063708,1081568,1098089,1112617,1124837,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361
Czechia,203,Europe - Eastern,8902620,9007002,9110144,9205973,9290493,9361778,9420036,9467557,9508365,9547667,9590178,9638392,9691061,9742455,9784341,9811375,9821063,9817110,9807943,9805320,9817667,9847215,9891102,9946191,10007275,10069960,10134522,10200728,10262918,10313961,10349084,10365523,10365264,10354100,10340629,10331144,10327290,10327472,10330925,10335875,10340877,10346458,10353021,10358694,10360964,10358190,10350302,10338346,10323244,10306404,10289374,10271019,10252264,10239131,10239444,10258165,10298609,10357535,10425267,10488155,10536514,10566512,10581302,10586529,10591104,10601390,10618868,10641032,10665679,10689213,10708982
Dem. People's Republic of Korea,408,Asia - Eastern,10549470,10248503,10049020,9957244,9972434,10086997,10285935,10547385,10843977,11145152,11424189,11665592,11871726,12065468,12282417,12547524,12864947,13222703,13609976,14010339,14410391,14809518,15207765,15593353,15952077,16274737,16554744,16796568,17015984,17235668,17472144,17731229,18008568,18298212,18590142,18877226,19156791,19431992,19708316,19993757,20293057,20609151,20937407,21265832,21577979,21862300,22113428,22335263,22536754,22731470,22929078,23132982,23339453,23542434,23732740,23904167,24054866,24188330,24310143,24428340,24548840,24673392,24800638,24929500,25057793,25183832,25307665,25429816,25549606,25666158,25778815
Democratic Republic of the Congo,180,Africa - Middle,12183662,12428907,12681011,12944450,13222533,13517516,13830425,14161223,14508915,14871788,15248256,15637700,16041187,16461828,16903830,17369882,17862052,18378620,18913874,19459818,20011033,20564062,21121360,21690448,22282127,22903587,23560470,24249127,24956387,25663598,26358905,27040329,27717293,28403858,29119663,29881222,30683877,31528702,32443784,33464767,34612023,35908240,37333917,38815835,40252973,41576239,42757239,43827191,44849968,45919615,47105830,48428534,49871670,51425583,53068869,54785894,56578046,58453687,60411195,62448572,64563853,66755151,69020749,71358804,73767445,76244532,78789130,81398765,84068092,86790568,89561404
Denmark,208,Europe - Northern,4268281,4308917,4346187,4380305,4411662,4440779,4468350,4495215,4522337,4550683,4581099,4614027,4649341,4686269,4723623,4760461,4796481,4831750,4866069,4899289,4931239,4961759,4990551,5017247,5041413,5062731,5081262,5097049,5109693,5118711,5123945,5125296,5123349,5119607,5116055,5114250,5114645,5117282,5122442,5130362,5141117,5154906,5171654,5190745,5211334,5232709,5254857,5277713,5300380,5321771,5341192,5358059,5372798,5386968,5402754,5421701,5444293,5469920,5497731,5526389,5554849,5582980,5610909,5638152,5664199,5688695,5711346,5732277,5752131,5771877,5792203
Djibouti,262,Africa - Eastern,62000,63313,64744,66273,67884,69593,71494,73699,76352,79615,83634,88503,94203,100618,107582,114976,122876,131405,140462,149889,159662,169372,179237,190569,205180,224177,248556,277472,308008,336080,358960,374934,385268,393800,406018,425608,454359,490337,528993,563855,590393,606843,615050,618504,622364,630385,643649,660858,680465,699973,717577,733019,746947,759639,771599,783248,794554,805456,816361,827820,840194,853671,868136,883296,898707,913998,929117,944100,958923,973557,988002
Dominica,212,America - Caribbean,51099,51703,52293,52941,53683,54557,55544,56628,57775,58919,60020,61036,61978,62917,63921,65044,66300,67687,69034,70214,71084,71569,71731,71739,71814,72088,72662,73443,74280,74960,75318,75314,75012,74484,73846,73207,72531,71842,71212,70722,70422,70377,70546,70818,71044,71105,70933,70592,70183,69828,69650,69671,69840,70102,70387,70580,70718,70797,70829,70848,70877,70912,70954,71019,71091,71175,71307,71460,71626,71808,71991
Dominican Republic,214,America - Caribbean,2364649,2438635,2517654,2601343,2689329,2781338,2877098,2976418,3079136,3185110,3294222,3406282,3521018,3638110,3757123,3877768,3999796,4123100,4247559,4373127,4499722,4627202,4755464,4884460,5014187,5144632,5275767,5407496,5539596,5671801,5803929,5935895,6067769,6199657,6331760,6464229,6596967,6729930,6863438,6997877,7133491,7270413,7408339,7546467,7683707,7819239,7952766,8084407,8214427,8343288,8471317,8598599,8724974,8850317,8974444,9097262,9218681,9338856,9458079,9576736,9695117,9813219,9930916,10048226,10165182,10281675,10397738,10513111,10627147,10738957,10847904
Ecuador,218,America - South,3470160,3561078,3654720,3751599,3852128,3956625,4065328,4178344,4295754,4417539,4543658,4674176,4809194,4948991,5093848,5243980,5399423,5560013,5725462,5895368,6069375,6247421,6429377,6614840,6803271,6994331,7187794,7383713,7582357,7784074,7989178,8197648,8409396,8624594,8843463,9066100,9292481,9522362,9755576,9991870,10230931,10472476,10716131,10961460,11207999,11455205,11703169,11951457,12198449,12442109,12681123,12914660,13143465,13369678,13596390,13825839,14059379,14296554,14535740,14774412,15011114,15243885,15474099,15707473,15951832,16212022,16491116,16785356,17084359,17373657,17643060
Egypt,818,Africa - Northern,20451988,20948600,21473792,22028132,22611502,23223125,23861509,24524531,25209459,25913227,26632891,27366239,28112258,28871383,29644875,30433024,31237597,32056506,32881852,33703127,34513851,35311905,36102670,36896551,37708144,38549133,39422731,40329589,41275728,42267429,43309063,44400113,45539295,46728284,47968643,49258726,50602360,51991696,53399243,54788680,56134478,57424552,58666812,59880656,61095804,62334025,63601632,64892269,66200259,67515591,68831561,70152662,71485044,72826102,74172073,75523576,76873670,78232124,79636081,81134789,82761244,84529251,86422240,88404652,90424668,92442549,94447071,96442590,98423602,100388076,102334403
El Salvador,222,America - Central,2199903,2237778,2280443,2327374,2378242,2432877,2491249,2553506,2619901,2690747,2766319,2846601,2931187,3019224,3109571,3201310,3293954,3387384,3481624,3576834,3673066,3770060,3867310,3964273,4060255,4154689,4247508,4338451,4426679,4511127,4591135,4666361,4737256,4804936,4871041,4936803,5002339,5067531,5133273,5200608,5270074,5342190,5416327,5490478,5561916,5628602,5689943,5746288,5797764,5844834,5887930,5927001,5962139,5994075,6023801,6052124,6079395,6105810,6131767,6157678,6183877,6210567,6237922,6266076,6295124,6325121,6356137,6388124,6420740,6453550,6486201
Equatorial Guinea,226,Africa - Middle,225530,230914,234185,236322,238033,239866,242139,244958,248246,251770,255338,258786,262219,266005,270616,276296,283506,291786,299416,304000,303986,298852,289508,277656,265762,255808,247969,242160,239681,241977,249931,264370,284638,308208,331554,352116,369024,382977,394973,406620,419188,432844,447269,462637,479099,496768,515844,536459,558496,581765,606180,631662,658388,686670,716949,749527,784494,821686,860839,901589,943640,986861,1031191,1076412,1122273,1168575,1215181,1262008,1308966,1355982,1402985
Eritrea,232,Africa - Eastern,822347,835000,849258,864893,881761,899746,918849,939085,960538,983337,1007586,1033320,1060489,1088859,1118152,1148188,1178875,1210304,1242633,1276122,1310947,1347180,1384789,1423749,1463986,1505438,1547978,1591622,1636771,1683932,1733423,1784557,1836825,1890556,1946299,2003942,2064803,2127421,2185607,2231144,2258649,2266356,2257593,2238631,2218436,2204227,2196467,2195192,2206439,2237412,2292413,2374721,2481059,2600972,2719809,2826653,2918209,2996540,3062782,3119920,3170437,3213969,3250104,3281453,3311444,3342818,3376558,3412894,3452797,3497117,3546427
Estonia,233,Europe - Northern,1100997,1113238,1125237,1136906,1148213,1159233,1170091,1181017,1192257,1204106,1216820,1230504,1245083,1260215,1275440,1290406,1304984,1319249,1333174,1346820,1360206,1373298,1386074,1398470,1410467,1422052,1433173,1443891,1454266,1464423,1474438,1483879,1492640,1501422,1511193,1522405,1536034,1551209,1564200,1569967,1565246,1548220,1520811,1488060,1457090,1433026,1417741,1409678,1406350,1403784,1399111,1391739,1382737,1372904,1363570,1355650,1349373,1344295,1340067,1336140,1332103,1327701,1323163,1319068,1316273,1315330,1316507,1319389,1322913,1325649,1326539
Eswatini,748,Africa - Southern,272997,279357,285286,291082,296943,303027,309405,316037,322860,329744,336578,343346,350155,357279,365120,373925,383820,394760,406508,418739,431251,443979,457039,470561,484747,499759,515602,532253,549787,568316,587852,608374,629812,652112,675240,699077,723599,748634,773774,798498,822423,845267,866995,887706,907622,926836,945506,963416,979922,994105,1005432,1013608,1019054,1022796,1026287,1030575,1036095,1042651,1049948,1057462,1064841,1072029,1079285,1086843,1095022,1104038,1113994,1124808,1136274,1148133,1160164
Ethiopia,231,Africa - Eastern,18128030,18466973,18819701,19184288,19560012,19947291,20347810,20764450,21201028,21661994,22151284,22671193,23221385,23798418,24397010,25013634,25641040,26280135,26944386,27652715,28415080,29248650,30140799,31036670,31861353,32566855,33128151,33577240,33993301,34487806,35141703,35984531,36995246,38142679,39374346,40652146,41965696,43329238,44757205,46272308,47887864,49609976,51423591,53295556,55180993,57047906,58883531,60697443,62507724,64343008,66224809,68159422,70142090,72170581,74239508,76346310,78489205,80674343,82916236,85233923,87639962,90139928,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583
Falkland Islands (Malvinas),238,America - South,2254,2245,2231,2217,2212,2203,2189,2175,2169,2157,2144,2131,2119,2103,2086,2074,2055,2035,2026,1997,1989,1964,1941,1931,1912,1909,1898,1877,1865,1861,1853,1850,1845,1838,1833,1841,1853,1866,1885,1925,1980,2061,2169,2269,2384,2501,2593,2688,2769,2831,2893,2927,2944,2950,2950,2950,2940,2928,2932,2921,2902,2863,2823,2793,2787,2836,2926,3074,3236,3372,3483
Faroe Islands,234,Europe - Northern,31502,31539,31669,31867,32144,32478,32860,33268,33706,34161,34624,35074,35521,35965,36409,36843,37283,37705,38131,38560,39008,39456,39915,40395,40847,41292,41724,42133,42539,42941,43339,43725,44101,44483,44895,45328,45812,46340,46833,47159,47276,47123,46746,46277,45848,45625,45624,45789,46094,46428,46738,46999,47235,47439,47600,47731,47793,47825,47822,47814,47803,47815,47843,47901,47965,48055,48173,48326,48497,48677,48865
Fiji,242,Oceania - Melanesia,288994,296250,304883,314452,324583,335096,345869,356939,368426,380564,393480,407244,421673,436303,450538,463960,476399,487973,498944,509708,520561,531622,542843,554143,565418,576626,587561,598299,609383,621584,635312,651032,668281,685497,700478,711770,718642,721776,722924,724602,728575,735398,744470,754962,765607,775428,784389,792736,800148,806302,811011,813923,815257,816078,817864,821606,827869,836185,845356,853636,859816,863451,865065,865602,866447,868632,872406,877460,883490,889955,896444
Finland,246,Europe - Northern,4008292,4050488,4096559,4144309,4191971,4238274,4282376,4323916,4362911,4399668,4434593,4467763,4498821,4526738,4550250,4568604,4581115,4588660,4594021,4601033,4612365,4629371,4651174,4675450,4698782,4718744,4734432,4746929,4758256,4771341,4788247,4809807,4835102,4862171,4888197,4911220,4930342,4946368,4961097,4977118,4996220,5019134,5044928,5071782,5097090,5119012,5136984,5151740,5164236,5175921,5187953,5200475,5213368,5227106,5242175,5258933,5277490,5297741,5319452,5342266,5365784,5390036,5414769,5438984,5461410,5481128,5497714,5511372,5522585,5532159,5540718
France,250,Europe - Western,41833873,42031196,42315598,42654661,43024817,43411377,43808997,44221224,44659052,45138433,45673147,46266974,46907043,47560825,48184414,48746653,49232536,49651080,50024587,50387441,50763921,51162569,51573268,51979531,52356793,52688575,52969314,53208549,53423112,53637073,53868006,54121009,54391469,54675370,54965167,55254838,55545271,55837622,56126337,56404303,56666861,56913580,57147213,57370375,57587122,57801887,58012055,58220657,58444245,58704381,59015092,59384126,59803434,60251591,60697977,61120128,61508924,61869229,62209207,62542883,62879535,63222229,63564224,63893521,64193550,64453194,64667590,64842513,64990512,65129731,65273512
French Guiana,254,America - South,25484,26241,26897,27465,27981,28493,29029,29620,30306,31093,32032,33115,34379,35770,37284,38893,40624,42430,44309,46150,47932,49619,51272,52882,54521,56224,58000,59868,61936,64275,66973,70022,73414,77232,81566,86435,91950,97972,104222,110261,115784,120689,125075,129146,133186,137400,141786,146331,151245,156811,163163,170443,178548,187026,195305,202973,209891,216182,221997,227542,232996,238383,243667,249049,254780,261008,267824,275189,282936,290823,298682
French Polynesia,258,Oceania - Polynesia,60270,62066,63848,65585,67237,68847,70436,72062,73830,75803,78080,80705,83652,86847,90132,93442,96719,99990,103329,106814,110490,114385,118438,122641,126919,131229,135559,139893,144273,148734,153298,157954,162679,167456,172249,177024,181807,186588,191260,195728,199906,203716,207238,210644,214196,218064,222323,226854,231562,236217,240681,244929,248976,252707,255995,258780,261007,262717,264064,265256,266449,267702,268995,270332,271713,273119,274576,276108,277673,279285,280904
Gabon,266,Africa - Middle,473296,476381,478655,480536,482332,484308,486640,489439,492758,496591,500922,505793,511285,517573,524891,533357,543119,554054,565763,577644,589317,600608,611705,622914,634739,647538,661398,676264,692078,708788,726335,744695,763932,784056,805117,827107,850052,873871,898472,923714,949493,975785,1002573,1029769,1057252,1084951,1112944,1141332,1170061,1199058,1228359,1258008,1288310,1319946,1353788,1390550,1430144,1472565,1518538,1568925,1624146,1684629,1749677,1817070,1883801,1947690,2007882,2064812,2119275,2172578,2225728
Gambia,270,Africa - Western,304895,309083,313525,318382,323755,329662,336117,343013,350228,357630,365049,372436,379886,387635,396012,405258,415478,426622,438590,451228,464404,478106,492424,507428,523250,539985,557810,576755,596540,616770,637252,657581,678111,700198,725688,755791,791141,831011,873440,915631,955595,992671,1027476,1060861,1094219,1128577,1164091,1200522,1238124,1277118,1317708,1360070,1404263,1449925,1496524,1543745,1591444,1639846,1689288,1740277,1793199,1848142,1905020,1963708,2024037,2085860,2149134,2213900,2280092,2347696,2416664
Georgia,268,Asia - Western,3527008,3555878,3588631,3625614,3667077,3713129,3763770,3818856,3878133,3941249,4007724,4077079,4148733,4222157,4296671,4371527,4446837,4521715,4593315,4658009,4713340,4758161,4793558,4822168,4847869,4873638,4900192,4927251,4955517,4985591,5017827,5051116,5085141,5121801,5163641,5211454,5267233,5327496,5380820,5411983,5410400,5372996,5303925,5208954,5097126,4976252,4846627,4709596,4575396,4456652,4362184,4296981,4258573,4238930,4225811,4210158,4189722,4166860,4142648,4119490,4099096,4081012,4064097,4048701,4035310,4024180,4015457,4008723,4002946,3996762,3989175
Germany,276,Europe - Western,69966252,70300011,70620275,70929839,71233393,71537454,71850645,72183453,72547581,72954885,73414229,73928077,74489450,75080749,75677305,76258034,76819570,77357251,77847179,78260756,78578381,78789931,78901826,78932455,78909808,78856031,78781740,78687323,78573588,78438171,78283101,78107860,77926016,77770210,77682293,77691591,77806136,78015742,78307525,78660301,79053984,79490831,79963166,80428557,80832928,81138653,81323666,81399250,81402671,81389935,81400883,81453894,81535124,81614371,81646474,81602739,81472235,81277836,81065751,80899961,80827001,80855629,80972629,81174373,81450370,81787411,82193770,82658409,83124413,83517046,83783945
Ghana,288,Africa - Western,5036151,5140319,5268648,5413371,5568654,5730592,5897345,6068997,6247304,6435160,6635229,6848291,7071966,7300124,7524470,7739463,7941418,8132803,8321773,8520018,8735493,8973247,9229640,9493552,9749098,9985946,10199164,10395453,10590265,10805318,11056112,11348287,11676828,12033559,12405659,12783617,13164839,13552021,13947047,14353409,14773274,15207360,15653345,16106756,16561677,17014058,17462504,17908977,18357159,18812369,19278850,19756929,20246376,20750308,21272328,21814648,22379057,22963946,23563832,24170943,24779614,25387713,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945
Gibraltar,292,Europe - Southern,22032,22287,22489,22632,22729,22784,22826,22881,22977,23145,23420,23808,24307,24889,25478,26079,26631,27172,27693,28165,28601,29007,29353,29657,29886,30062,30179,30228,30224,30172,30068,29902,29698,29481,29284,29151,29096,29114,29164,29187,29149,29021,28844,28680,28605,28688,28970,29404,29945,30526,31081,31604,32097,32556,32930,33222,33420,33524,33570,33562,33585,33608,33653,33694,33726,33742,33738,33723,33715,33706,33691
Greece,300,Europe - Southern,7668792,7742937,7814168,7882596,7948283,8011132,8070958,8127479,8180310,8229113,8273628,8314009,8350876,8385443,8419301,8453819,8489868,8528026,8569144,8614035,8663568,8716870,8774512,8840311,8919247,9014091,9127057,9254979,9388720,9515743,9627004,9719839,9796830,9860734,9916481,9968233,10015122,10057292,10101349,10155721,10225990,10315109,10420226,10533811,10644939,10745502,10832139,10906248,10970121,11027899,11082103,11134447,11182308,11218879,11234993,11224800,11185231,11120371,11040312,10959268,10887640,10829074,10781119,10740501,10701460,10659737,10615183,10569449,10522244,10473452,10423056
Greenland,304,America - Northern,22993,23466,23936,24465,25092,25846,26727,27733,28842,30019,31230,32476,33731,35037,36438,37965,39605,41362,43098,44702,46077,47195,48066,48736,49232,49575,49781,49846,49865,49942,50179,50584,51155,51834,52528,53187,53789,54371,54880,55288,55604,55783,55857,55847,55817,55810,55830,55873,55951,56052,56177,56336,56518,56707,56868,56949,56968,56928,56836,56729,56638,56555,56477,56412,56383,56378,56408,56473,56565,56660,56772
Grenada,308,America - Caribbean,76681,76647,77184,78167,79501,81102,82876,84726,86572,88334,89927,91324,92481,93409,94122,94634,94936,95012,94929,94723,94476,94212,93984,93661,93190,92494,91469,90219,89104,88603,89032,90610,93132,96020,98472,99953,100183,99425,98126,96932,96328,96462,97161,98234,99345,100286,101003,101567,102023,102429,102837,103242,103636,104003,104346,104658,104938,105183,105457,105787,106227,106786,107452,108172,108900,109603,110263,110874,111449,112002,112519
Guadeloupe,312,America - Caribbean,209999,213342,217579,222796,228990,236054,243840,252030,260249,268078,275173,281312,286538,291106,295509,300058,304867,309772,314498,318630,321887,324170,325635,326577,327426,328489,330007,331915,333919,335587,336683,336932,336612,336677,338430,342737,350061,359911,370913,381139,389251,394615,397692,399380,401066,403731,407784,412739,417621,421035,422048,420248,416132,410868,406068,402903,401809,402405,403967,405444,406073,405643,404446,402826,401305,400260,399760,399679,399848,400048,400127
Guam,316,Oceania - Micronesia,59653,60258,60870,61470,62058,62647,63256,63926,64698,65623,66733,68065,69605,71289,73047,74828,76611,78412,80212,82040,83875,85729,87580,89459,91378,93351,95380,97477,99629,101837,104134,106482,108901,111403,113953,116576,119228,121923,124674,127525,130480,133553,136693,139813,142806,145559,148061,150303,152274,153955,155323,156395,157173,157723,158094,158406,158649,158848,159037,159232,159439,159690,159990,160415,161007,161851,162948,164281,165770,167295,168783
Guatemala,320,America - Central,3114956,3212327,3311525,3413156,3517654,3625305,3736231,3850435,3967743,4087921,4210751,4336132,4464251,4595509,4730533,4869714,5013167,5160616,5311610,5465515,5621794,5780477,5941567,6104528,6268707,6433723,6599211,6765516,6933909,7106144,7283456,7466481,7654818,7847468,8042895,8240060,8438599,8639105,8842571,9050464,9263820,9483273,9708552,9938699,10172303,10408486,10646676,10887637,11133502,11387208,11650744,11924941,12208854,12500479,12796926,13096028,13397022,13700326,14006420,14316251,14630420,14948792,15270774,15595821,15923238,16252425,16583079,16914979,17247855,17581476,17915567
