country,region,growthRate,rateDifference
Afghanistan,Asia - Southern,0.0292342367563153,-0.0009582976814293
Albania,Europe - Southern,-0.0024062767861603,0.0006121784012273
Algeria,Africa - Northern,0.0199880026447013,-5.294800241526803e-05
American Samoa,Oceania - Polynesia,-0.001590936855023,0.0004207873177217
Andorra,Europe - Southern,-0.0088241665672263,0.0011002344568958
Angola,Africa - Middle,0.0347493886904752,-0.0004778972210524
Anguilla,America - Caribbean,0.0110865904284809,-0.0004842086562836
Antigua and Barbuda,America - Caribbean,0.0107140479635049,-0.0006097103812881
Argentina,America - South,0.0100479902844769,-0.0001240442817833
Armenia,Asia - Western,0.0029478933547496,0.0002368838974897
Aruba,America - Caribbean,0.0049078581321551,5.582168466022856e-05
Australia,Oceania - AusNZ,0.0141631960127191,-0.0006144661949432
Austria,Europe - Western,0.0068761076634912,6.095270885145672e-05
Azerbaijan,Asia - Western,0.0116260400419818,-0.0003886844695796
Bahamas,America - Caribbean,0.0103035311939088,-0.0003815130470766
Bahrain,Asia - Western,0.0321653959016327,0.000751543181858
Bangladesh,Asia - Southern,0.0110327249575308,-0.0001584184391093
Barbados,America - Caribbean,0.0018420955782313,-0.0002016253987287
Belarus,Europe - Eastern,0.0003048195449563,2.574034040575905e-05
Belgium,Europe - Western,0.0057969073954488,-0.00027885064461
Belize,America - Central,0.0211731116143928,-0.0006082750660524
Benin,Africa - Western,0.0279843081378633,-0.0001272126786984
Bermuda,America - Northern,-0.0048690240762892,0.0001124443253417
Bhutan,Asia - Southern,0.0119034095477843,-2.3197429797430547e-05
Bolivia (Plurinational State of),America - South,0.0150979667654926,-0.0002738939372443
"Bonaire, Sint Eustatius and Saba",America - Caribbean,0.02281638063809,-0.0045905899085058
Bosnia and Herzegovina,Europe - Southern,-0.0120905134786409,0.0006491567267068
Botswana,Africa - Southern,0.0169938023716446,0.0007289270778924
Brazil,America - South,0.0082912625210298,-0.0002275035546148
British Virgin Islands,America - Caribbean,0.0084605537271862,-0.0013638848340521
Brunei Darussalam,Asia - SouthEastern,0.0119113104548582,-0.0003709789124684
Bulgaria,Europe - Eastern,-0.0066115401584775,-0.0001264404215418
Burkina Faso,Africa - Western,0.0296616999870642,-0.0002125698374433
Burundi,Africa - Eastern,0.0320270523540278,-0.0001509022297823
Cabo Verde,Africa - Western,0.0121696335992166,-0.0001787393242912
Cambodia,Asia - SouthEastern,0.0156648964122161,-0.0002130352016542
Cameroon,Africa - Middle,0.026980110090716,-0.0002124042954379
Canada,America - Northern,0.0100592303123227,-0.0002907493995122
Cayman Islands,America - Caribbean,0.0149267791868751,-0.0010418080515462
Central African Republic,Africa - Middle,0.0096815597880859,0.0011732793087854
Chad,Africa - Middle,0.0323067784090047,-0.0004635189201275
Channel Islands,Europe - Northern,0.0085209612669958,0.0001438897381242
Chile,America - South,0.0114317340410778,-0.0001513845192964
China,Asia - Eastern,0.0050359181163413,-0.0001946540196027
"China, Hong Kong SAR",Asia - Eastern,0.0073691313519511,0.0002665770931814
"China, Macao SAR",Asia - Eastern,0.0189552641296681,-0.001061538051737
"China, Taiwan Province of China",Asia - Eastern,0.0026811824231434,-0.0001886446538142
Colombia,America - South,0.0118652558321767,0.0001183157877333
Comoros,Africa - Eastern,0.0234487370800408,-0.0002773096676114
Congo,Africa - Middle,0.0258840867083655,-0.0003072448958601
Cook Islands,Oceania - Polynesia,-0.0045845810412501,0.0012675720026831
Costa Rica,America - Central,0.0107539215604258,-0.000327662643661
C̫te d'Ivoire,Africa - Western,0.0253675723223718,0.000176582613349
Croatia,Europe - Southern,-0.005272799941378,-0.000286627178415
Cuba,America - Caribbean,0.00089467139804,-0.0001746048537358
Cura̤ao,America - Caribbean,0.00958664360407,-0.0018641432651611
